Retest List,,,,,,,,,,,,,,,,
Failure Symptom,Action,,,,,,,,,,,,,,,
hwinterface_smoke_test-hwinterface-error,Retest,,,,,,,,,,,,,,,
Capture Diorite Console and Attach to log Failed,Retest,,,,,,,,,,,,,,,
Check boot number Failed,Retest,,,,,,,,,,,,,,,
Hardware config check failed,Retest,,,,,,,,,,,,,,,
task-failed-with-non-zero-code-return-code,Retest,,,,,,,,,,,,,,,
Check Firmware Fail,Retest,,,,,,,,,,,,,,,
DMA stress test Failed,Retest,,,,,,,,,,,,,,,
test-completion-missing-error-error_monitor,Retest,,,,,,,,,,,,,,,
Attach booting logs to OTC failed.,Retest,,,,,,,,,,,,,,,
Update Google BIOS Failed,Retest,,,,,,,,,,,,,,,
test-completion-missing-error-fan_speed,Retest,,,,,,,,,,,,,,,
test-completion-missing-error-bus_check,Retest,,,,,,,,,,,,,,,
index-error-exception,Retest,,,,,,,,,,,,,,,
test-completion-missing-error-hwinterface_smoketest,Retest,,,,,,,,,,,,,,,
set FAN RPM,Retest,,,,,,,,,,,,,,,
Update Google BMC on GLP Failed,Retest,,,,,,,,,,,,,,,
error-monitor-procedural-error,Retest,,,,,,,,,,,,,,,
Update Google BMC Failed,Retest,,,,,,,,,,,,,,,
Send command fail: /usr/local/bin/gsys -k hardware parts | grep PE | grep nic,Retest,,,,,,,,,,,,,,,
Dump lpcsnoop service log at initial boot Failed,Retest,,,,,,,,,,,,,,,
test-completion-missing-error-dna,Retest,,,,,,,,,,,,,,,
Caught OSError exception.,Retest,,,,,,,,,,,,,,,
value-error-exception,Retest,,,,,,,,,,,,,,,
excessive-uncorrectable-unclassified-cpu-errors,Retest,,,,,,,,,,,,,,,
PWM_TACH Test Step0 Fail !,Retest,,,,,,,,,,,,,,,
type-error-exception,Retest,,,,,,,,,,,,,,,
Restart PID service Failed,Retest,,,,,,,,,,,,,,,
Diorite Sanity Check - mac address-table on switch side Failed,Retest,,,,,,,,,,,,,,,
send_cmd_failure-exception,Retest,,,,,,,,,,,,,,,
Sync attachment to control server Failed,Retest,,,,,,,,,,,,,,,
Send command fail: /usr/bin/ipmitool sdr elist | grep fan,Retest,,,,,,,,,,,,,,,
AC cycle system Failed,Retest,,,,,,,,,,,,,,,
memtester-preparation-error,Retest,,,,,,,,,,,,,,,
test-completion-missing-error-biosintegrity,Retest,,,,,,,,,,,,,,,
Send command fail: /usr/local/bin/gsys -k sensor list,Retest,,,,,,,,,,,,,,,
Create folder on diag server Failed,Retest,,,,,,,,,,,,,,,
Dump lpcsnoop service log after reboot Failed,Retest,,,,,,,,,,,,,,,
Diorite Sanity Check Failed,Retest,,,,,,,,,,,,,,,
switch-no-imc-mac,Retest,,,,,,,,,,,,,,,
process-step-error-exception,Retest,,,,,,,,,,,,,,,
test-completion-missing-error-rootoftrustmap,Retest,,,,,,,,,,,,,,,
excessive-correctable-cache-cpu-errors,Retest,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
